,t,ExM,SE,SE_minus_ExM,pT_global,R_static,m_pred_Efficiency,m_obs_Efficiency,e_Efficiency,abs_e_Efficiency,match_Efficiency,pT_Efficiency,c_Efficiency,rho_Efficiency,w_Efficiency,m_pred_Comfort,m_obs_Comfort,e_Comfort,abs_e_Comfort,match_Comfort,pT_Comfort,c_Comfort,rho_Comfort,w_Comfort,m_pred_TaskCompletion,m_obs_TaskCompletion,e_TaskCompletion,abs_e_TaskCompletion,match_TaskCompletion,pT_TaskCompletion,c_TaskCompletion,rho_TaskCompletion,w_TaskCompletion,SE_minus_R_static,Decision_SE,Decision_RL,Best_SE_policy,Best_RL_policy
11,11,0.8192289061433942,0.35101054696967826,-0.4682183591737159,0.6159717368785477,0.8166666666666668,0.85,0.85,0,0,true,0.9101424296516497,0,0,0.39206107689076247,0.8,0.8,0,0,true,0.9101424296516497,0,0,0.2613740512605084,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09080867389010461,0.071807292377373,1,0.3465648718487292,-0.4656561196969885,0,1,Bicycle,Car
12,12,0.8196030538445381,0.36370374163667796,-0.4558993122078602,0.6261904143559375,0.8166666666666668,0.85,0.85,0,0,true,0.9101429151762713,0,0,0.3994813226995318,0.8,0.8,0,0,true,0.9101429151762713,0,0,0.26632088179968794,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09080857437708265,0.06931297436974582,1,0.3341977955007802,-0.4529629250299888,0,1,Bicycle,Car
13,13,0.8199740661349766,0.37629789875086095,-0.44367616738411564,0.6363232795679545,0.8166666666666668,0.85,0.85,0,0,true,0.9101430716248211,0,0,0.40683183620006413,0.8,0.8,0,0,true,0.9101430716248211,0,0,0.2712212241333761,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09080854655244593,0.06683955910015603,1,0.3219469396665597,-0.4403687679158058,0,1,Bicycle,Car
14,14,0.8203415918100032,0.3887810412540986,-0.4315605505559046,0.6463608603917067,0.8166666666666668,0.85,0.85,0,0,true,0.9101431220365618,0,0,0.4141058740717236,0.8,0.8,0,0,true,0.9101431220365618,0,0,0.2760705827144824,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.0908085387724556,0.06438938793331192,1,0.3098235432137941,-0.42788562541256814,0,1,Bicycle,Car
15,15,0.5653400046926901,-0.026097113159890828,-0.5914371178525809,0.38732766177978795,0.5833333333333334,0.85,0.4,-0.44999999999999996,0.44999999999999996,false,0.5204365284927106,0.1863476433322756,0.5872361412729152,0.4133924182668523,0.8,0.55,-0.25,0.25,false,0.5204365284927106,0.0690176456786206,0.2174948671381168,0.27672239548204447,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09080853659710829,0.0619647086427588,0.19526899158896802,0.30988518625110334,-0.6094304464932242,0,0,Bicycle,Bicycle
16,16,0.5654624338227481,-0.20635104900537765,-0.7718134828281258,0.20057637067023873,0.5833333333333334,0.85,0.4,-0.44999999999999996,0.44999999999999996,false,0.24986588774325563,0.18602658822008353,0.5864938226568213,0.41245210606777494,0.8,0.55,-0.25,0.25,false,0.24986588774325563,0.06918059887051112,0.21810857401336703,0.27758257455521324,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09080853598886385,0.061977037250220655,0.1953976033298118,0.3099653193770118,-0.789684382338711,0,0,Bicycle,Bicycle
17,17,0.5656235139340867,-0.2797269688460732,-0.8453504827801599,0.12455478705558597,0.5833333333333334,0.85,0.4,-0.44999999999999996,0.44999999999999996,false,0.13971368824725555,0.1856034477304987,0.5855143247542539,0.4114176749151419,0.8,0.55,-0.25,0.25,false,0.13971368824725555,0.06939564363880331,0.2189191198918877,0.2785304637703358,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09080853581879382,0.06199306387540235,0.1955665553538584,0.3100518613145223,-0.8630603021794065,0,0,Bicycle,Bicycle
18,18,0.5658003140913593,-0.3029240696376935,-0.8687243837290528,0.10051345909287376,0.5833333333333334,0.85,0.4,-0.44999999999999996,0.44999999999999996,false,0.10487469926596839,0.18513795371181385,0.5844352649224249,0.41035277397234327,0.8,0.55,-0.25,0.25,false,0.10487469926596839,0.06963261594258395,0.21981314760015455,0.27950810206544596,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09080853577124091,0.06201037226290444,0.19575158747742044,0.3101391239622108,-0.8862574029710268,0,0,Bicycle,Bicycle
19,19,0.5659818648947013,-0.3096384975893966,-0.8756203624840979,0.09354368409437323,0.5833333333333334,0.85,0.4,-0.44999999999999996,0.44999999999999996,false,0.09477331826907624,0.18465874828755446,0.5833227481186426,0.4092784742548031,0.8,0.55,-0.25,0.25,false,0.09477331826907624,0.06987702551636149,0.2207361358861094,0.2804962711513986,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09080853575794474,0.06202782479244215,0.19594111599524808,0.31022525459379824,-0.8929718309227299,0,0,Bicycle,Bicycle
20,20,0.5661645425102291,-0.3115235393982783,-0.8776880819085073,0.09157494061192478,0.5833333333333334,0.85,0.4,-0.44999999999999996,0.44999999999999996,false,0.0919196301554093,0.1841753134146614,0.5821986882451523,0.40820097336256933,0.8,0.55,-0.25,0.25,false,0.0919196301554093,0.07012406778784964,0.22166999215895028,0.2814893129078131,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09080853575422704,0.062045050918759635,0.1961313195958975,0.3103097137296176,-0.8948568727316117,0,0,Bicycle,Bicycle
21,21,0.566347282428019,-0.31204023109829604,-0.8783875135263151,0.09102293813120538,0.5833333333333334,0.85,0.4,-0.44999999999999996,0.44999999999999996,false,0.0911194033734599,0.18369043801315618,0.5810695361407893,0.4071220369781754,0.8,0.55,-0.25,0.25,false,0.0911194033734599,0.07037232822695327,0.22260938872090025,0.28248561762355656,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09080853575318752,0.0620619427459235,0.19632107513831046,0.3103923453982681,-0.8953735644316294,0,0,Bicycle,Bicycle
22,22,0.5665297808028408,-0.31217290040368645,-0.8787026812065273,0.09086848780113183,0.5833333333333334,0.85,0.4,-0.44999999999999996,0.44999999999999996,false,0.09089547221283159,0.1832049166401789,0.5799371277886235,0.40604216869807686,0.8,0.55,-0.25,0.25,false,0.09089547221283159,0.07062140440588914,0.22355281278825723,0.28348473068164487,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09080853575289685,0.06207846907965361,0.19651005942311936,0.31047310062027833,-0.8955062337370199,0,0,Bicycle,Bicycle
23,23,0.5667119498503581,-0.3121980993740051,-0.8789100492243632,0.09082529769036803,0.5833333333333334,0.85,0.4,-0.44999999999999996,0.44999999999999996,false,0.09083284508370247,0.18271897591413458,0.5788019829831473,0.4049615173077293,0.8,0.55,-0.25,0.25,false,0.09083284508370247,0.07087118267041122,0.2244998411400448,0.2844865228087462,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09080853575281561,0.06209462012405565,0.19669817587680782,0.3105519598835246,-0.8955314327073385,0,0,Bicycle,Bicycle
24,24,0.5668937623747218,-0.3121932620558215,-0.8790870244305433,0.09081322205298167,0.5833333333333334,0.85,0.4,-0.44999999999999996,0.44999999999999996,false,0.09081533292954314,0.18223268278847815,0.5776642509611192,0.40388013224168073,0.8,0.55,-0.25,0.25,false,0.09081533292954314,0.07112163070218655,0.22545035774071115,0.28549095598731644,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.0908085357527929,0.0621103919767049,0.19688539129816965,0.31062891177100294,-0.8955265953891549,0,0,Bicycle,Bicycle
25,25,0.5670752081064987,-0.31218004934092186,-0.8792552574474206,0.09080984593848365,0.5833333333333334,0.85,0.4,-0.44999999999999996,0.44999999999999996,false,0.09081043630492672,0.1817460595087563,0.5765239770754158,0.40279803518411517,0.8,0.55,-0.25,0.25,false,0.09081043630492672,0.07137273899682911,0.22640433279509467,0.2864980177168115,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09080853575278652,0.062125782354200576,0.19707169012948964,0.31070394709907334,-0.8955133826742552,0,0,Bicycle,Bicycle
26,26,0.5672562814971511,-0.312164519074665,-0.8794208005718162,0.09080890205166763,0.5833333333333334,0.85,0.4,-0.44999999999999996,0.44999999999999996,false,0.09080906716288252,0.1812591158328518,0.5753811776550846,0.401715240111262,0.8,0.55,-0.25,0.25,false,0.09080906716288252,0.07162450442920287,0.22736176063795696,0.2875077025756765,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09080853575278476,0.06214078941981466,0.19725706170695845,0.3107770573130615,-0.8954978524079984,0,0,Bicycle,Bicycle
27,27,0.567436978311576,-0.31214836549192826,-0.8795853438035043,0.09080863816203845,0.5833333333333334,0.85,0.4,-0.44999999999999996,0.44999999999999996,false,0.09080868433932696,0.18077185805006787,0.5742358609933484,0.4006317588995709,0.8,0.55,-0.25,0.25,false,0.09080868433932696,0.07187692564391912,0.22832264229567828,0.2885200070515067,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09080853575278425,0.06215541146261228,0.19744149671097325,0.3108482340489224,-0.8954816988252616,0,0,Bicycle,Bicycle
28,28,0.567617294677295,-0.3121320625969609,-0.879749357274256,0.09080856438427293,0.5833333333333334,0.85,0.4,-0.44999999999999996,0.44999999999999996,false,0.09080857729876894,0.1802842915048069,0.5730880332302115,0.39954760289474855,0.8,0.55,-0.25,0.25,false,0.09080857729876894,0.07213000176287668,0.22928698059129862,0.28953492809128933,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09080853575278412,0.06216964680978447,0.19762498617848973,0.31091746901396206,-0.8954653959302943,0,0,Bicycle,Bicycle
29,29,0.5677972268192782,-0.31211574317992435,-0.8799129699992025,0.0908085437575724,0.5833333333333334,0.85,0.4,-0.44999999999999996,0.44999999999999996,false,0.09080854736937276,0.17979642130263684,0.5719377000015683,0.39846278335067026,0.8,0.55,-0.25,0.25,false,0.09080854736937276,0.07238373202282233,0.23025477876992498,0.2905524626945301,1,0.8,-0.19999999999999996,0.19999999999999996,false,0.09080853575278407,0.062183493802792394,0.19780752122850662,0.31098475395479963,-0.8954490765132577,0,0,Bicycle,Bicycle
