,t,ExM,SE,SE_minus_ExM,pT_global,R_static,m_pred_Efficiency,m_obs_Efficiency,e_Efficiency,abs_e_Efficiency,match_Efficiency,pT_Efficiency,c_Efficiency,rho_Efficiency,w_Efficiency,m_pred_Comfort,m_obs_Comfort,e_Comfort,abs_e_Comfort,match_Comfort,pT_Comfort,c_Comfort,rho_Comfort,w_Comfort,m_pred_TaskCompletion,m_obs_TaskCompletion,e_TaskCompletion,abs_e_TaskCompletion,match_TaskCompletion,pT_TaskCompletion,c_TaskCompletion,rho_TaskCompletion,w_TaskCompletion,SE_minus_R_static,Decision_SE,Decision_RL,Best_SE_policy,Best_RL_policy
16,16,0.8049999999999999,0.6967224879352583,-0.10827751206474168,0.9101431435147371,0.75,0.55,0.55,0,0,true,0.910143143514737,0,0,0.3,0.7,0.7,0,0,true,0.910143143514737,0,0,0.2,1,1,0,0,true,0.910143143514737,0,0,0.5,-0.05327751206474174,1,1,Bicycle,Bicycle
17,17,0.8049999999999999,0.6967224899676107,-0.10827751003238928,0.9101431452013367,0.75,0.55,0.55,0,0,true,0.9101431452013367,0,0,0.3,0.7,0.7,0,0,true,0.9101431452013367,0,0,0.2,1,1,0,0,true,0.9101431452013367,0,0,0.5,-0.05327751003238934,1,1,Bicycle,Bicycle
18,18,0.8049999999999999,0.6967224906224867,-0.10827750937751324,0.9101431457448023,0.75,0.55,0.55,0,0,true,0.9101431457448023,0,0,0.3,0.7,0.7,0,0,true,0.9101431457448023,0,0,0.2,1,1,0,0,true,0.9101431457448023,0,0,0.5,-0.0532775093775133,1,1,Bicycle,Bicycle
19,19,0.8049999999999999,0.6967224908335047,-0.10827750916649526,0.910143145919921,0.75,0.55,0.55,0,0,true,0.9101431459199208,0,0,0.3,0.7,0.7,0,0,true,0.9101431459199208,0,0,0.2,1,1,0,0,true,0.9101431459199208,0,0,0.5,-0.05327750916649532,1,1,Bicycle,Bicycle
20,20,0.8049999999999999,0.6967224909014998,-0.10827750909850009,0.9101431459763485,0.75,0.55,0.55,0,0,true,0.9101431459763485,0,0,0.3,0.7,0.7,0,0,true,0.9101431459763485,0,0,0.2,1,1,0,0,true,0.9101431459763485,0,0,0.5,-0.05327750909850015,1,1,Bicycle,Bicycle
21,21,0.8049999999999999,0.6967224909234095,-0.1082775090765904,0.9101431459945308,0.75,0.55,0.55,0,0,true,0.9101431459945308,0,0,0.3,0.7,0.7,0,0,true,0.9101431459945308,0,0,0.2,1,1,0,0,true,0.9101431459945308,0,0,0.5,-0.05327750907659046,1,1,Bicycle,Bicycle
22,22,0.8049999999999999,0.6967224909304696,-0.10827750906953038,0.9101431460003897,0.75,0.55,0.55,0,0,true,0.9101431460003897,0,0,0.3,0.7,0.7,0,0,true,0.9101431460003897,0,0,0.2,1,1,0,0,true,0.9101431460003897,0,0,0.5,-0.05327750906953044,1,1,Bicycle,Bicycle
23,23,0.8049999999999999,0.6967224909327445,-0.10827750906725542,0.9101431460022776,0.75,0.55,0.55,0,0,true,0.9101431460022776,0,0,0.3,0.7,0.7,0,0,true,0.9101431460022776,0,0,0.2,1,1,0,0,true,0.9101431460022776,0,0,0.5,-0.05327750906725548,1,1,Bicycle,Bicycle
24,24,0.8049999999999999,0.6967224909334776,-0.10827750906652234,0.910143146002886,0.75,0.55,0.55,0,0,true,0.910143146002886,0,0,0.3,0.7,0.7,0,0,true,0.910143146002886,0,0,0.2,1,1,0,0,true,0.910143146002886,0,0,0.5,-0.0532775090665224,1,1,Bicycle,Bicycle
25,25,0.8049999999999999,0.6967224909337137,-0.10827750906628619,0.910143146003082,0.75,0.55,0.55,0,0,true,0.910143146003082,0,0,0.3,0.7,0.7,0,0,true,0.910143146003082,0,0,0.2,1,1,0,0,true,0.910143146003082,0,0,0.5,-0.053277509066286255,1,1,Bicycle,Bicycle
26,26,0.8049999999999999,0.6967224909337897,-0.10827750906621025,0.910143146003145,0.75,0.55,0.55,0,0,true,0.910143146003145,0,0,0.3,0.7,0.7,0,0,true,0.910143146003145,0,0,0.2,1,1,0,0,true,0.910143146003145,0,0,0.5,-0.053277509066210316,1,1,Bicycle,Bicycle
27,27,0.8049999999999999,0.6967224909338143,-0.1082775090661856,0.9101431460031655,0.75,0.55,0.55,0,0,true,0.9101431460031654,0,0,0.3,0.7,0.7,0,0,true,0.9101431460031654,0,0,0.2,1,1,0,0,true,0.9101431460031654,0,0,0.5,-0.05327750906618567,1,1,Bicycle,Bicycle
28,28,0.8049999999999999,0.6967224909338224,-0.1082775090661775,0.9101431460031721,0.75,0.55,0.55,0,0,true,0.910143146003172,0,0,0.3,0.7,0.7,0,0,true,0.910143146003172,0,0,0.2,1,1,0,0,true,0.910143146003172,0,0,0.5,-0.053277509066177564,1,1,Bicycle,Bicycle
29,29,0.8049999999999999,0.6967224909338251,-0.10827750906617484,0.9101431460031744,0.75,0.55,0.55,0,0,true,0.9101431460031743,0,0,0.3,0.7,0.7,0,0,true,0.9101431460031743,0,0,0.2,1,1,0,0,true,0.9101431460031743,0,0,0.5,-0.0532775090661749,1,1,Bicycle,Bicycle
